Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2013;3;15 tm 25;1649;50037638;1091
2013;3;26 tm 30;5403;121175492;3419
2013;3;31 tm 35;9933;244155544;9566
2013;3;36 tm 40;14762;478326971;19034
2013;3;41 tm 45;18742;511496527;14995
2013;3;46 tm 50;15488;367978781;14233
2013;3;51 tm 55;11878;281545318;13393
2013;3;56 tm 60;8658;151348427;8372
2013;3;61 tot 65;1291;17811314;1482
2013;4;15 tm 25;1962;41800244;957
2013;4;26 tm 30;5424;87565101;3059
2013;4;31 tm 35;8609;233248423;6825
2013;4;36 tm 40;8295;245651612;9500
2013;4;41 tm 45;7749;203054408;18001
2013;4;46 tm 50;8064;191987034;13535
2013;4;51 tm 55;4147;94649918;8782
2013;4;56 tm 60;2622;48655084;7483
2013;4;61 tot 65;464;6562349;1313
2013;5;15 tm 25;1866;55001635;2437
2013;5;26 tm 30;5488;139066819;10509
2013;5;31 tm 35;7254;139148512;12944
2013;5;36 tm 40;8305;224629385;9169
2013;5;41 tm 45;9276;202484301;20019
2013;5;46 tm 50;4817;114627579;13959
2013;5;51 tm 55;5283;82109814;6414
2013;5;56 tm 60;3052;35324568;3688
2013;5;61 tot 65;411;3642884;753
2013;6;15 tm 25;1169;26537104;831
2013;6;26 tm 30;4669;61398230;3115
2013;6;31 tm 35;10528;233465836;4687
2013;6;36 tm 40;12107;360962222;10651
2013;6;41 tm 45;12510;371959016;13379
2013;6;46 tm 50;8869;210939024;12307
2013;6;51 tm 55;6524;209386349;12519
2013;6;56 tm 60;4612;77487943;8315
2013;6;61 tot 65;781;10679768;895
2014;1;15 tm 25;418;8583597;159
2014;1;26 tm 30;2083;50544228;541
2014;1;31 tm 35;3393;131527558;2350
2014;1;36 tm 40;9209;344578726;5762
2014;1;41 tm 45;10123;352136651;5101
2014;1;46 tm 50;8656;219251935;5802
2014;1;51 tm 55;4468;200887849;3884
2014;1;56 tm 60;2604;145296390;3670
2014;1;61 tot 65;499;12644406;1179
2014;2;15 tm 25;528;13551309;236
2014;2;26 tm 30;1515;39845360;1626
2014;2;31 tm 35;3347;122421276;4580
2014;2;36 tm 40;7424;238508743;5575
2014;2;41 tm 45;8370;249959384;3944
2014;2;46 tm 50;5278;185914105;4618
2014;2;51 tm 55;5621;92940480;5326
2014;2;56 tm 60;3057;92725479;4292
2014;2;61 tot 65;355;9147467;177
2014;3;15 tm 25;2323;46089622;1540
2014;3;26 tm 30;3926;137358831;4115
2014;3;31 tm 35;7170;221622651;10623
2014;3;36 tm 40;18944;461123079;16850
2014;3;41 tm 45;13418;510713039;19676
2014;3;46 tm 50;13788;431779304;25168
2014;3;51 tm 55;12970;229049703;18611
2014;3;56 tm 60;7719;167540117;8564
2014;3;61 tot 65;849;14707940;1074
2014;4;15 tm 25;2491;46841279;1499
2014;4;26 tm 30;4578;136844179;4767
2014;4;31 tm 35;8193;203664804;7728
2014;4;36 tm 40;11175;222612163;10432
2014;4;41 tm 45;10609;237290289;14946
2014;4;46 tm 50;9793;175595424;15972
2014;4;51 tm 55;4457;162270149;6568
2014;4;56 tm 60;3461;69927209;8432
2014;4;61 tot 65;538;9018083;683
2014;5;15 tm 25;2146;43950169;2076
2014;5;26 tm 30;5483;78604101;6664
2014;5;31 tm 35;6999;153089234;9379
2014;5;36 tm 40;9791;281313316;15172
2014;5;41 tm 45;10551;220149639;14630
2014;5;46 tm 50;7073;140602988;13002
2014;5;51 tm 55;4817;81887995;8326
2014;5;56 tm 60;2760;64451271;7007
2014;5;61 tot 65;436;5648315;250
2014;6;15 tm 25;1106;25403802;1345
2014;6;26 tm 30;3257;91310732;1308
2014;6;31 tm 35;7046;184152804;4880
2014;6;36 tm 40;16721;364745695;11208
2014;6;41 tm 45;10911;298633922;13596
2014;6;46 tm 50;8382;352909840;15823
2014;6;51 tm 55;5484;217345013;8481
2014;6;56 tm 60;4105;117999092;8916
2014;6;61 tot 65;978;16406955;640
2015;1;15 tm 25;327;7896518;0
2015;1;26 tm 30;1801;52454192;1197
2015;1;31 tm 35;4553;150919557;3083
2015;1;36 tm 40;8367;306182451;5417
2015;1;41 tm 45;9101;355346731;5962
2015;1;46 tm 50;7856;327164414;5333
2015;1;51 tm 55;5877;247477106;3917
2015;1;56 tm 60;3411;139435644;4527
2015;1;61 tot 65;657;24017941;1098
2015;2;15 tm 25;522;12060020;326
2015;2;26 tm 30;1693;42250886;1818
2015;2;31 tm 35;3474;95652664;1583
2015;2;36 tm 40;6190;183811580;6280
2015;2;41 tm 45;6766;209379043;5826
2015;2;46 tm 50;6019;190047924;6182
2015;2;51 tm 55;4537;140282412;7848
2015;2;56 tm 60;2663;77755081;4341
2015;2;61 tot 65;450;10622765;1023
2015;3;15 tm 25;2100;44944717;1053
2015;3;26 tm 30;4928;118963213;3705
2015;3;31 tm 35;8574;227827918;6894
2015;3;36 tm 40;14743;401679886;17939
2015;3;41 tm 45;16835;459635502;21959
2015;3;46 tm 50;14791;395263167;24524
2015;3;51 tm 55;11018;281700303;19409
2015;3;56 tm 60;6597;151198301;10833
